label,jsonl_data
Production Process,"{'data': 'Product | Production | rutile pigment produced by the sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header> <label>', 'label': []}"
Production Process,"{'data': 'Description: | Tiona 596 is a multipurpose chloride - process rutile titanium dioxide pigment <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 813 is a heavily treated, chloride - process, rutile titanium dioxide pigment, specifically <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header> <label>', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'dioxide pigment manufactured by the chloride | Follow all local regulations and DuPont recom - <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header> <label>', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 3 is a heavily treated, chloride - process, rutile titanium dioxide pigment, specifically designed to <label>', 'label': []}"
Production Process,"{'data': 'Production Process. | Rutile Titanium dioxide pigment produced by sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Description: | 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 8140 is a very heavily treated chloride - process rutile titanium dioxide pigment, specifically <label>', 'label': []}"
Production Process,"{'data': 'Description: | 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. <label>', 'label': []}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process.', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header> <label>', 'label': []}"
Production Process,"{'data': 'Description: | Tiona 696 is a high performance, superdurable chloride - process rutile titanium <label>', 'label': []}"
Production Process,"{'data': 'manufactured by the chloride process for use in | Follow all local regulations and DuPont recom - <label>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Product | rutile pigment produced by the chloride process', 'label': []}"
Production Process,"{'data': 'Type: | Rutile, chloride - process titanium dioxide <label>', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header>', 'label': []}"
Production Process,"{'data': 'manufactured by the chloride process for general | Follow all local regulations and DuPont recom - <label>', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. <label>', 'label': []}"
Production Process,"{'data': 'Description: | 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Description: | Tiona 595 is a high performance, multipurpose chloride - process rutile titanium <label>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the sulphate process <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header> <label>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'CHLORIDE PROCESS | RECOMMENDED APPLICATIONS', 'label': []}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process. <label>', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 8140 is a very heavily treated chloride - process rutile titanium dioxide pigment, specifically <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header> <label>', 'label': []}"
Production Process,"{'data': 'Production Process. | Rutile Titanium dioxide pigment produced by sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'dioxide pigment manufactured by the chloride | Follow all local regulations and DuPont recom - <label>', 'label': []}"
Production Process,"{'data': 'Description: | Tiona 696 is a high performance, superdurable chloride - process rutile titanium <label>', 'label': []}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process.', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'manufactured by the chloride process for use in | R - 960 is the pigment of choice for many critical coatings <label>', 'label': []}"
Production Process,"{'data': 'Product | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Type: | Rutile, chloride - process titanium dioxide <label>', 'label': []}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process.', 'label': []}"
Production Process,"{'data': 'Production Process. | Rutile Titanium dioxide pigment produced by sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header> <label>', 'label': []}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process. <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 595 is a high performance, multipurpose, chloride - process rutile titanium dioxide pigment, <label>', 'label': []}"
Production Process,"{'data': 'Description: | Cristal 121 is an alumina/silica modified chloride - process rutile titanium dioxide <label>', 'label': []}"
Production Process,"{'data': 'Product | rutile pigment produced by the sulfate process', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header> <label>', 'label': []}"
Production Process,"{'data': 'TIPAQUE R - 930 | is a chalk resistance rutile type titanium dioxide pigment produced by the sulphate pro - <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications.', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Production Process,"{'data': 'Description: | multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications. | multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications. <header> <Description:> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> </header> <label>', 'label': []}"
Production Process,"{'data': 'Product | rutile pigment produced by the sulfate process', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate', 'label': []}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header>', 'label': []}"
Production Process,"{'data': 'CHLORIDE PROCESS | RECOMMENDED APPLICATIONS', 'label': []}"
Production Process,"{'data': 'Description: | Tiona 596 is a multipurpose chloride - process rutile titanium dioxide pigment <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 3 is a heavily treated, chloride - process, rutile titanium dioxide pigment, specifically designed to <label>', 'label': []}"
Production Process,"{'data': 'Description: | Cristal 121 is an alumina/silica modified chloride - process rutile titanium dioxide <label>', 'label': []}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
Production Process,"{'data': 'Production Process. | Rutile Titanium dioxide pigment produced by sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Description: | 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Production Process,"{'data': 'CHLORIDE PROCESS | RECOMMENDED APPLICATIONS', 'label': []}"
Production Process,"{'data': 'Product Characteristics | Production rutile pigment produced by the chloride process <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header> <label>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications. | TiONA® 828 is is a multi - purpose, blue tint tone, chloride - process, rutile titanium dioxide pigment, designed to give an outstanding combination of ease of dispersion, excellent optical properties and good durability in a wide range of coating applications.', 'label': []}"
Production Process,"{'data': 'TIPAQUE R - 930 | is a chalk resistance rutile type titanium dioxide pigment produced by the sulphate pro - <label>', 'label': []}"
Production Process,"{'data': 'manufactured by the chloride process for use in | R - 960 is the pigment of choice for many critical coatings <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header>', 'label': []}"
Production Process,"{'data': 'manufactured by the chloride process for use in | R - 960 is the pigment of choice for many critical coatings <label>', 'label': []}"
Production Process,"{'data': 'CHLORIDE PROCESS | RECOMMENDED APPLICATIONS', 'label': []}"
Production Process,"{'data': 'Description: | Cristal 121 is an alumina/silica modified chloride - process rutile titanium dioxide <label>', 'label': []}"
Production Process,"{'data': 'TIPAQUE R - 930 | is a chalk resistance rutile type titanium dioxide pigment produced by the sulphate pro - <label>', 'label': []}"
Production Process,"{'data': 'TiONA® | 121 is an alumina/silica modified chloride - process rutile titanium dioxide pigment. <label>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 Content | 94 % <header> <TiO 2 Content> | < 94 % > </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content [ % ] | 93', 'label': [[16, 17, 'unit'], [22, 24, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content | 94 % minimum', 'label': [[16, 18, 'min'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content / % | ≥ 94.0 <header> <TiO 2 content / % > | <≥ 94.0 > </header>', 'label': [[16, 17, 'unit'], [22, 26, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | 94.0 %', 'label': [[16, 19, 'measuring_condition'], [24, 28, 'mean'], [29, 30, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 92.0 %', 'label': [[16, 30, 'method'], [35, 39, 'mean'], [40, 41, 'unit']]}"
TiO2 content,"{'data': 'Typical Properties: | • | TiO 2 content: | 92 %', 'label': [[43, 45, 'mean'], [46, 47, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content | 93 % <header> <TiO 2 content> | < 93 % > </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'Purity as TiO 2, % by mass | : 98.50 min. | : 98.50 min.', 'label': [[17, 18, 'unit'], [19, 26, 'measuring_condition'], [31, 36, 'unclear_value'], [46, 51, 'unclear_value']]}"
TiO2 content,"{'data': 'TiO 2 content % | . . 91 | . . 91', 'label': [[14, 15, 'unit'], [22, 24, 'mean'], [31, 33, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 含量 % ( m/m ) ≥ | 90 | 90 | 92,42 <header> <产品牌号 R 838 > <产品批号 C 101208 > <检验项目> <检验项目> | <> <> <技术指标> <一等品> | <数 量 检验日期> <> <技术指标> <合格品> | < 800 * 25 kg> < 2010.11.30 > <检验结果> <合格品> </header>', 'label': [[13, 16, 'measuring_condition'], [9, 10, 'unit'], [23, 25, 'min'], [28, 30, 'min'], [33, 38, 'min']]}"
TiO2 content,"{'data': 'Typical | • TiO 2 content: 95 % | <header> <> | <pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range interior and exterior, water and solvent based coating formulations.> | <Australia Phone: + ( 08 ) .9780.8301 or + 61.8.9780.8301 CHINA> </header>', 'label': [[30, 31, 'unit'], [27, 29, 'mean']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content | 94 %', 'label': [[40, 42, 'mean'], [43, 44, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) | 94 .0 - 95.5 | ISO 591 - 1 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[16, 17, 'unit'], [22, 27, 'min'], [30, 34, 'max'], [37, 48, 'method']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content: | 93 %', 'label': [[41, 43, 'mean'], [44, 45, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content | % | ≥ 93 <header> <Product Quality Index Features> <Items> | <Product Quality Index Features> <Units> | <Product Quality Index Features> <Index> </header>', 'label': [[16, 17, 'unit'], [22, 24, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content % . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 93', 'label': [[14, 15, 'unit'], [138, 140, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content % | . . 91 | . . 91', 'label': [[14, 15, 'unit'], [22, 24, 'mean'], [31, 33, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | ≥ 94.0 %', 'label': [[16, 19, 'measuring_condition'], [26, 30, 'min'], [31, 32, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 ( % ) , minimum | 93 | 95 <header> <> | <CR - 58 - 2 > | <CR - 50 - 2 > </header>', 'label': [[8, 9, 'unit'], [24, 26, 'min'], [29, 31, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 92.5 %', 'label': [[16, 30, 'method'], [35, 39, 'mean'], [40, 41, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 94 <header> <Property> | <R - 900 > </header>', 'label': [[10, 11, 'unit'], [21, 23, 'min'], [7, 9, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) | 94 .0 - 95.5 | ISO 591 - 1 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[16, 17, 'unit'], [22, 27, 'min'], [30, 34, 'max'], [37, 48, 'method']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 94 <header> <Property> | <R - 900 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
TiO2 content,"{'data': 'TiO 2 （ % ）, min. | 87 | 90 <header> <> | <PFC 105 > | <CR - 95 > </header>', 'label': [[8, 9, 'unit'], [20, 22, 'min'], [25, 27, 'min']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 90 <header> <Property> | <R - 960 > </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min']]}"
TiO2 content,"{'data': 'Product | Product | Titanium dioxide Trademark Crimea TiOx - 230', 'label': []}"
TiO2 content,"{'data': 'TiO 2 content | 93 % <header> <TiO 2 content> | < 93 % > </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'Product | Product | Titanium dioxide Trademark Crimea TiOx - 230', 'label': []}"
TiO2 content,"{'data': 'TiO 2, % | 95.00 <header> <> | <F> </header>', 'label': [[11, 16, 'mean'], [7, 8, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 94 <header> <Property> | <R - 900 > </header>', 'label': [[10, 11, 'unit'], [21, 23, 'min'], [7, 9, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 90 <header> <Property> | <R - 960 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content | 94 %', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 94 <header> <Property> | <R - 900 > </header>', 'label': [[10, 11, 'unit'], [21, 23, 'min'], [7, 9, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2 % （ISO 591 - 1 ） | 93 % <header> <TiO 2 % （ISO 591 - 1 ）> | < 93 % > </header>', 'label': [[9, 20, 'method'], [25, 27, 'mean'], [28, 29, 'unit'], [6, 7, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 | min | 93', 'label': [[14, 16, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content: | ≥ 93,5 %', 'label': [[43, 47, 'min'], [48, 49, 'unit']]}"
TiO2 content,"{'data': 'Typical | • TiO 2 content: | 91 %', 'label': [[29, 31, 'mean'], [32, 33, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, % | 95.00 <header> <> | <F> </header>', 'label': [[11, 16, 'mean'], [7, 8, 'unit']]}"
TiO2 content,"{'data': '1 | Titanium dioxide content | EN ISO 591 - 1 | % w/w | min. 95,0 <header> <No.> | <Determined parameter> | <Test Method> | <Unit> | <Requirements> </header>', 'label': [[31, 45, 'method'], [48, 49, 'unit'], [50, 53, 'measuring_condition'], [61, 65, 'min'], [0, 1, 'unclear_value']]}"
TiO2 content,"{'data': 'Typical Properties: | TiO 2 Content | 93 %', 'label': [[38, 40, 'mean'], [41, 42, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) min | 93.0 <header> < - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - TYPE> | <R - 996 > </header>', 'label': [[16, 17, 'unit'], [26, 30, 'min']]}"
TiO2 content,"{'data': 'TiO 2 Content: | 93 % min', 'label': [[17, 19, 'min'], [20, 21, 'unit']]}"
TiO2 content,"{'data': 'Typical | TiO 2 content: | 81 %', 'label': [[27, 29, 'mean'], [30, 31, 'unit']]}"
TiO2 content,"{'data': 'Typical Properties: | • | TiO 2 content: | 92 %', 'label': [[43, 45, 'mean'], [46, 47, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content % | Typical Properties 1 93', 'label': [[14, 15, 'unit'], [37, 41, 'unclear_value']]}"
TiO2 content,"{'data': '二氧化钛含量 | TiO 2 content, % | ≥ 93 <header> <典型数据> | <Property> | <SR - 237 > </header>', 'label': [[24, 25, 'unit'], [30, 32, 'min']]}"
TiO2 content,"{'data': 'TiO 2 ( minimum ) | 80 %', 'label': [[20, 22, 'min'], [23, 24, 'unit'], [8, 15, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2 Content | 92.5 % minimum <header> <TiO 2 Content> | < 92.5 % minimum> </header>', 'label': [[16, 20, 'min'], [21, 22, 'unit']]}"
TiO2 content,"{'data': 'specifications TiO 2 Content | 94 % <header> <specifications TiO 2 Content> | < 94 % > </header>', 'label': [[31, 33, 'mean'], [34, 35, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | 93.0 %', 'label': [[16, 19, 'measuring_condition'], [24, 28, 'mean'], [29, 30, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) | 93.1 | 3 LP 0053 <header> <Typical Properties> | <Typical Properties> | <Test Method> </header>', 'label': [[16, 17, 'unit'], [22, 26, 'mean'], [29, 38, 'method']]}"
TiO2 content,"{'data': 'TiO 2 | TiO 2 | TiO 2 | 94.0 % | 94.0 % | 94.0 %', 'label': [[24, 28, 'mean'], [29, 30, 'unit'], [33, 37, 'mean'], [42, 46, 'mean'], [38, 39, 'unit'], [47, 48, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content | 92.5 % minimum <header> <TiO 2 Content> | < 92.5 % minimum> </header>', 'label': [[16, 20, 'min'], [21, 22, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 [ % ] | C 101101 A | C 101101 A | C 101101 A | approx. 94 <header> <Titanium dioxide classification> | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <R 2 > </header>', 'label': [[61, 63, 'mean'], [14, 24, 'measuring_condition'], [8, 9, 'unit'], [27, 37, 'measuring_condition'], [40, 50, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2, % | 95.00 <header> <> | <F> </header>', 'label': [[11, 16, 'mean'], [7, 8, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 | : 25 %', 'label': [[10, 12, 'mean'], [13, 14, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content | 95 %', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'Typical Properties: | • | TiO 2 content: | 92 %', 'label': [[43, 45, 'mean'], [46, 47, 'unit']]}"
TiO2 content,"{'data': 'TiO, , % . | 95.00 <header> <PHYSICAL PROPERTIES ( Typical ) Color> | <Light Buff> </header>', 'label': [[7, 8, 'unit'], [13, 18, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content: | 94 %', 'label': [[17, 19, 'mean'], [20, 21, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 | min | 93', 'label': [[14, 16, 'min']]}"
TiO2 content,"{'data': 'TiO 2 | 84 % min.', 'label': [[8, 10, 'min'], [11, 12, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 ( % ) | TiO 2 ( % ) | 80 min. | 85 min. | 85 min. <header> <ITEM> | <ITEM> | <MT - 100 HD> | <MT - 500 HD> | <MT - 700 HD> </header>', 'label': [[8, 9, 'unit'], [22, 23, 'unit'], [28, 30, 'min'], [38, 40, 'min'], [48, 50, 'min']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) | 94 .0 - 95.5 | ISO 591 - 1 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[16, 17, 'unit'], [22, 27, 'min'], [30, 34, 'max'], [37, 48, 'method']]}"
TiO2 content,"{'data': 'TiO 2 content: | 94 %', 'label': [[17, 19, 'mean'], [20, 21, 'unit']]}"
TiO2 content,"{'data': 'TiO, , % . | 95.00 <header> <PHYSICAL PROPERTIES ( Typical ) Color> | <Light Buff> </header>', 'label': [[7, 8, 'unit'], [13, 18, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 94 <header> <Property> | <R - 900 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
