label,jsonl_data
Flash point,"{'data': 'Flash Point, Abel | IP 170 | °C | 33.0', 'label': [[29, 31, 'unit'], [34, 38, 'unclear_value'], [23, 26, 'unclear_value']]}"
Flash point,"{'data': 'ASTM D - 93 ( P/M ) | Flash point ℃ | 100 min | > 100 <header> <METHOD> | <TEST> | <MIN - MAX> | <TYPICAL> </header>', 'label': [[34, 35, 'unit'], [0, 19, 'method'], [38, 41, 'min'], [50, 53, 'min']]}"
Flash point,"{'data': 'Flash Point APcc | °C | min. 38 | 41 | <header> <Property> | <Unit> | <Specification> | <Typical> | <Method> </header>', 'label': [[12, 16, 'measuring_conditon'], [19, 21, 'unit'], [29, 31, 'min']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 214 ( 101.1 ℃ )', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean'], [35, 40, 'mean'], [41, 42, 'unit']]}"
Flash point,"{'data': 'Flash Point | ℃ | ℃ | IP 170 | 1 <header> <Vapor Pressure @ 20 ℃> | <kPa> | <kPa> | <Calculated> | < 4.4 > </header>', 'label': [[14, 15, 'unit'], [18, 19, 'unit'], [22, 28, 'method'], [31, 32, 'mean']]}"
Flash point,"{'data': 'Flash point | DIN 51755 | 34 °C <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': [[14, 23, 'method'], [26, 29, 'mean'], [29, 31, 'unit']]}"
Flash point,"{'data': 'Flash | point: 7.2 ℃', 'label': [[15, 18, 'mean'], [19, 20, 'unit']]}"
Flash point,"{'data': 'Flash point | 165 F 0 | 74 C 0', 'label': [[14, 17, 'mean'], [18, 19, 'unit'], [24, 26, 'mean'], [27, 28, 'unit']]}"
Flash point,"{'data': 'Flash point ( PMCC ) : | 54 °C', 'label': [[14, 18, 'measuring_condition'], [25, 27, 'mean'], [28, 30, 'unit']]}"
Flash point,"{'data': 'Flash point ( Setaflash Closed Cup ) | 145 °F | 63 °C', 'label': [[14, 34, 'measuring_condition'], [39, 42, 'mean'], [43, 45, 'unit'], [48, 50, 'mean'], [51, 53, 'unit']]}"
Flash point,"{'data': 'Flash point ( °C ) | <header> <Appearance at 25 ºC> | <Clear liquid> </header>', 'label': [[14, 16, 'unit']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 95 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 30, 'mean']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup ) | 46 °C ( 115 °F ) <header> <Property> | <Value> </header>', 'label': [[39, 41, 'mean'], [42, 44, 'unit'], [47, 50, 'mean'], [51, 53, 'unit'], [14, 34, 'measuring_condition']]}"
Flash point,"{'data': 'Flash Point Tag Closed Cup | 16 °C ( 60 °F ) <header> <Boiling Point @ 760 mm Hg Dry Point 117 °C ( 243 °F ) Initial 114 °C ( 237 °F ) > | <Boiling Point @ 760 mm Hg Dry Point 117 °C ( 243 °F ) Initial 114 °C ( 237 °F ) > </header>', 'label': [[12, 26, 'measuring_condition'], [29, 31, 'mean'], [37, 39, 'mean'], [32, 34, 'unit'], [40, 42, 'unit']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup ) | 46 °C ( 115 °F ) <header> <Property> | <Value> </header>', 'label': [[39, 41, 'mean'], [42, 44, 'unit'], [47, 50, 'mean'], [51, 53, 'unit'], [14, 34, 'measuring_condition']]}"
Flash point,"{'data': 'Pensky - Martens Flash Point | °C | ASTM D 93 | 63 <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED VALUES MINI MAXI> </header>', 'label': [[31, 33, 'unit'], [36, 45, 'method'], [48, 50, 'mean'], [0, 16, 'measuring_condition']]}"
Flash point,"{'data': 'Flash Point | ACC | º℃ | 84 <header> <Parameter> | <Conditions> | <Units> | <Value> </header>', 'label': [[14, 17, 'measuring_condition'], [21, 22, 'unit'], [25, 27, 'mean']]}"
Flash point,"{'data': 'Flash point, Closed cup | 132.0 ºC <header> <Appearance , 25 ºC> | <Liquid Clear> </header>', 'label': [[13, 23, 'measuring_condition'], [26, 31, 'mean'], [32, 34, 'unit']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup | 63 °C ( 145 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [37, 39, 'mean'], [45, 48, 'mean'], [40, 42, 'unit'], [49, 51, 'unit']]}"
Flash point,"{'data': '• | Flash Point ( Tag Closed Cup ) C ( °F ) … 75 ( 176 )', 'label': [[18, 32, 'measuring_condition'], [35, 36, 'unit'], [39, 41, 'unit'], [46, 48, 'mean'], [51, 54, 'mean']]}"
Flash point,"{'data': 'FLASH POINT oC | 41 | IP 170 | 42 <header> <PROPERTY> | <QUALITY REQUIREMENT MINIMUM MAXIMUM> | <TEST METHOD REFERENCE> | <TYPICAL VALUES> </header>', 'label': [[12, 14, 'unit'], [17, 19, 'mean'], [22, 28, 'method'], [31, 33, 'mean']]}"
Flash point,"{'data': 'Flash point | °C | 101 | | 103 | ASTM D 93 <header> <Property> | <Units> | <Min values> | <Max values> | <Typical values> | <Test method ( Latest method, unless specified otherwise ) > </header>', 'label': [[14, 16, 'unit'], [19, 22, 'min'], [33, 42, 'method']]}"
Flash point,"{'data': '- | Flash point | O C | 131 | - <header> <Test Method> | <> | <Unit> | <Typical> | <Specification> </header>', 'label': [[24, 27, 'mean'], [18, 21, 'unit']]}"
Flash point,"{'data': 'Flash point | °C | 42 °C | IP 170 <header> <PROPERTIES> | <UNITS> | <VALUE> | <METHOD> </header>', 'label': [[14, 16, 'unit'], [19, 21, 'mean'], [22, 24, 'unit'], [27, 33, 'method']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | - 7 <header> <n - Hexane> | < % m/m> | <GC> | << 0.1 > </header>', 'label': [[14, 16, 'unit'], [19, 26, 'method'], [28, 31, 'mean']]}"
Flash point,"{'data': 'Flash Point, TCC | °C | ASTM D 56 | 44 <header> <Vapor Pressure @ 20 °C [ 68 °F ] > | <kPa> | <Calculated> | < 0.17 > </header>', 'label': [[13, 16, 'measuring_conditon'], [19, 21, 'unit'], [24, 33, 'method'], [36, 38, 'mean']]}"
Flash point,"{'data': '▪ Flash Point ( SETA ) | ........................................ 90 °C', 'label': [[16, 20, 'measuring_condition'], [66, 68, 'mean'], [69, 71, 'unit']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | 15 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[13, 16, 'unit'], [19, 25, 'method'], [28, 30, 'mean']]}"
Flash point,"{'data': ' | Flash Point | °C | ASTM D 93 | 61 <header> <Data Sheet> | < 28 - Nov - 2007 > | < 28 - Nov - 2007 > | <> | <> </header>', 'label': [[17, 19, 'unit'], [22, 31, 'method'], [34, 36, 'mean']]}"
Flash point,"{'data': 'Typical Properties | Flash Point °C | IP 170 | 4 <header> <Data Sheet> | < 16 - Jul - 2004 > | <> | <> </header>', 'label': [[33, 35, 'unit'], [38, 44, 'method'], [47, 48, 'mean']]}"
Flash point,"{'data': 'Flash point ( closed cup,°C ) | 87 | 86 | 58 <header> <> | <DMSO> | <NMP> | <DMF> </header>', 'label': [[14, 24, 'measuring_condition'], [25, 27, 'unit'], [32, 34, 'mean'], [37, 39, 'mean'], [42, 44, 'mean']]}"
Flash point,"{'data': 'Flash point | approx. 28 | | <header> <Property> | <Value> | <Unit> | <Unit> </header>', 'label': [[22, 24, 'mean']]}"
Flash point,"{'data': 'Flash Point Cleveland Open Cup | 120 ℃ ( 248 ºF ) <header> <Propertyª> | <Typical Value, Unitsº> </header>', 'label': [[12, 30, 'measuring_condition'], [33, 36, 'mean'], [37, 38, 'unit'], [41, 44, 'mean'], [45, 47, 'unit']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 126 ( 52.2 ℃ ) <header> <> | <SPECIFICATIONS> </header>', 'label': [[18, 24, 'measuring_condition'], [13, 15, 'unit'], [29, 32, 'mean'], [35, 39, 'mean'], [40, 41, 'unit']]}"
Flash point,"{'data': 'Flash point | °C | 22 | | 28 | ASTM D 56 <header> <Property> | <Units> | <Min values> | <Max values> | <Typical values> | <Test method ( Latest method, unless specified otherwise ) > </header>', 'label': [[14, 16, 'unit'], [19, 21, 'min'], [31, 40, 'method']]}"
Flash point,"{'data': '• | Flash Point ( Tag Closed Cup ) ºC ( ºF ) ………… 48 ( 119 )', 'label': [[18, 32, 'measuring_condition'], [35, 37, 'unit'], [40, 42, 'unit'], [50, 52, 'mean'], [55, 58, 'mean']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | - 6 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[19, 25, 'method'], [28, 31, 'mean'], [14, 16, 'unit']]}"
Flash point,"{'data': 'Punto de Inflamación Tag, ºC | 33 | 33 | ASTM D 56 ASTM D 1266 o <header> <DETERMINACIONES> | <ESPECIFICACIONES Mín. Máx.> | <ESPECIFICACIONES Mín. Máx.> | <MÉTODO DE ENSAYO> </header>', 'label': [[31, 33, 'mean'], [36, 38, 'mean'], [41, 62, 'method'], [26, 28, 'unit']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | 50 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[14, 16, 'unit'], [19, 25, 'method'], [28, 30, 'mean']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 111 ( 44 ℃ )', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean'], [35, 37, 'mean'], [38, 39, 'unit']]}"
Flash point,"{'data': 'Flash p point | °C | A ASTM D 93 | 59 <header> <Proper rty> | <Units> | <M Method> | <Ty p ical value S> </header>', 'label': [[16, 18, 'unit'], [21, 32, 'method'], [35, 37, 'mean']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 95 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 30, 'mean']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | - 6 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[19, 25, 'method'], [28, 31, 'mean'], [14, 16, 'unit']]}"
Flash point,"{'data': 'Flash p point | °C | ASTM D 5 56 | < 0 <header> <Proper rty> | <Unit ts> | <Method d> | <Typic cal values> </header>', 'label': [[16, 18, 'unit'], [21, 32, 'method'], [37, 38, 'max']]}"
Flash point,"{'data': 'Flash Point °C ( P/M ) | ASTMD‐ 93 | 40 | <header> <Test> | <Method> | <Min> | <Max> </header>', 'label': [[12, 14, 'unit'], [17, 20, 'measuring_conditon'], [25, 34, 'method'], [37, 39, 'min']]}"
Flash point,"{'data': 'Flash Point Tag Closed Cup | 36 °C ( 96 °F ) <header> <Property> | <Typical Value, Units> </header>', 'label': [[12, 26, 'measuring_condition'], [29, 31, 'mean'], [37, 39, 'mean'], [32, 34, 'unit'], [40, 42, 'unit']]}"
Flash point,"{'data': 'Flash point COC | DIN EN ISO 2592 | °C | 120 <header> <Analysis> | <Method> | <Unit> | <Typical> </header>', 'label': [[18, 33, 'method'], [36, 38, 'unit'], [41, 44, 'mean'], [12, 15, 'measuring_conditon']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup ) | 67 °C ( 153 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [39, 41, 'mean'], [47, 50, 'mean'], [42, 44, 'unit'], [51, 53, 'unit']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 95 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 30, 'mean']]}"
Flash point,"{'data': 'Flash point | DIN 51755 | 34 °C <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': [[14, 23, 'method'], [26, 29, 'mean'], [29, 31, 'unit']]}"
Flash point,"{'data': 'Leimahduspiste, APcc Flampunkt, APcc Flash Point, APcc | °C | 38 | | > 38 | DIN 51755 <header> <> | <Yksikkö Enhet Unit> <> | <Laaturaja Kvalitetskrav Specification> <min.> | <Laaturaja Kvalitetskrav Specification> <max.> | <Tyypillinen arvo Typvärde Typical analysis> <> | <Määritysmenetelmä Testmetod Test method> <> </header>', 'label': [[50, 54, 'measuring_condition'], [57, 59, 'unit'], [62, 64, 'min'], [71, 73, 'min'], [76, 85, 'method']]}"
Flash point,"{'data': 'Flash Point APcc | °C | min. 38 | 41 | <header> <Property> | <Unit> | <Specification> | <Typical> | <Method> </header>', 'label': [[12, 16, 'measuring_conditon'], [19, 21, 'unit'], [29, 31, 'min']]}"
Flash point,"{'data': 'Abel Flash point | °C | ISO 13736 | 38 | 38 <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED VALUES MINI MAXI> | <GUARANTEED VALUES MINI MAXI> </header>', 'label': [[19, 21, 'unit'], [24, 33, 'method'], [36, 38, 'min'], [41, 43, 'max'], [0, 4, 'measuring_condition']]}"
Flash point,"{'data': 'IP 170 | Abel Flash ℃ | 40 | 40 | | 43 <header> <Method> | <Method Name> | <Minimum> | <Minimum> | <Maximum> | <Typical> </header>', 'label': [[0, 6, 'method'], [9, 19, 'measuring_conditon'], [20, 21, 'unit'], [24, 26, 'min'], [29, 31, 'min']]}"
Flash point,"{'data': '- | Flash point | °C | 102 | - <header> <Method> | <> | <Unit> | <Typical value> | <Specification> </header>', 'label': [[18, 20, 'unit'], [23, 26, 'mean']]}"
Flash point,"{'data': 'Pensky - Martens Flash Point | °C | ASTM D 93 | 24 | 24 | <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED MINI> | <GUARANTEED MINI> | <VALUES MAXI> </header>', 'label': [[31, 33, 'unit'], [36, 45, 'method'], [48, 50, 'min'], [53, 55, 'max']]}"
Flash point,"{'data': 'Flash Point ( Tag Closed Cup ) | 4.4 ℃ <header> <Specifications> | <Limits> </header>', 'label': [[14, 28, 'measuring_condition'], [33, 36, 'mean'], [37, 38, 'unit']]}"
Flash point,"{'data': 'Flash point, PMCC | ℃ | ASTM D 93 | 62.0 | | <header> <Property> | <Unit> | <Method> | <Min> | <Max> | <Notes> </header>', 'label': [[13, 17, 'measuring_condition'], [20, 21, 'unit'], [24, 33, 'method'], [36, 40, 'min']]}"
Flash point,"{'data': 'Flash Point. | 12.7 ℃', 'label': [[15, 19, 'mean'], [20, 21, 'unit']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 111 ( 44 ℃ )', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean'], [35, 37, 'mean'], [38, 39, 'unit']]}"
Flash point,"{'data': 'Tag Open Cup | 70 °C ( 158 °F ) <header> < ( n - butyl acetate = 1 ) > | < 0.09 > </header>', 'label': [[0, 12, 'measuring_condition'], [15, 17, 'mean'], [18, 20, 'unit'], [23, 26, 'mean'], [27, 29, 'unit']]}"
Flash point,"{'data': 'Flash p point | °C | ASTM M D 56 | 42 <header> <Proper rty> | <Units> | <Me ethod> | <Typic al values Antwer P production> </header>', 'label': [[16, 18, 'unit'], [21, 32, 'method'], [35, 37, 'mean']]}"
Flash point,"{'data': 'Tag Closed Cup | | 20 °C ( 69 °F ) <header> <Boiling Point @ 760 mm Hg> <Freezing Point> | <> | < 112 - 119 °C ( 234 - 246 °F ) > < - 99 °C ( - 146 °F ) > </header>', 'label': [[0, 14, 'measuring_condition'], [19, 21, 'mean'], [27, 29, 'mean'], [22, 24, 'unit'], [30, 32, 'unit']]}"
Flash point,"{'data': 'Flashpoint Pensky/Martens | Flashpoint Pensky/Martens | : min. 61 | ˚C', 'label': [[11, 25, 'measuring_condition'], [39, 53, 'measuring_condition'], [63, 65, 'min'], [68, 70, 'unit']]}"
Flash point,"{'data': 'PONTO DE FULGOR | °C | ASTM D 56 | 42,5 | 38,0 | - <header> <___________________________________________________________________________ Características> | <Unidade> | <Método> | <Resultado> | <Limite Inf.> | <Limite Sup.> </header>', 'label': [[23, 32, 'method'], [42, 46, 'min']]}"
Flash point,"{'data': 'Flashpoint | ºC | 62 | <header> <Parameter> | <Unit> | <Min.Value> | <Max.Value> </header>', 'label': [[13, 15, 'unit'], [18, 20, 'min']]}"
Flash point,"{'data': 'Flash Point, ℃ ( Pensky - Martin cc ) | 98 | 108 | 113 | 94 | 107 | 124 <header> <> | <FlexaTrac - DME - 100 > | <FlexaTrac - DME - 200 > | <Flexa Trac - DME - 300 > | <FlexaTrac - DMS - 400 > | <FlexaTrac - DMG - 500 > | <FlexaTrac - DMA - 600 > </header>', 'label': [[40, 42, 'mean'], [45, 48, 'mean'], [51, 54, 'mean'], [57, 59, 'mean'], [62, 65, 'mean'], [68, 71, 'mean'], [13, 14, 'unit'], [17, 35, 'measuring_condition']]}"
Flash point,"{'data': 'Flash Point | 7 deg C ( TCC Typical ) <header> <Appearance> | <Clear,Colorless Liquid> </header>', 'label': [[14, 15, 'mean'], [16, 21, 'unit'], [24, 35, 'measuring_condition']]}"
Flash point,"{'data': '• | Flash Point ( Tag Closed Cup ) C ( °F ) … 75 ( 176 )', 'label': [[18, 32, 'measuring_condition'], [35, 36, 'unit'], [39, 41, 'unit'], [46, 48, 'mean'], [51, 54, 'mean']]}"
Flash point,"{'data': 'Flash Point | Flash Point | <header> < ( n - butyl acetate = 1 ) ( ether = 1 ) > | < ( n - butyl acetate = 1 ) ( ether = 1 ) > | < 0.03 > < 403.4 > </header>', 'label': []}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 119 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 31, 'mean']]}"
Flash point,"{'data': 'Flash Point, °F ( T.C.C. ) | 111 None', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup ) | 49 °C ( 120 °F )', 'label': [[14, 34, 'measuring_condition'], [39, 41, 'mean'], [47, 50, 'mean'], [42, 44, 'unit'], [51, 53, 'unit']]}"
Flash point,"{'data': 'Flash point ( IP 170 ) : | 24 – 29 °C', 'label': [[14, 20, 'method'], [27, 29, 'min'], [32, 34, 'max'], [35, 37, 'unit']]}"
Flash point,"{'data': 'Flash point, PMCC | °C | ASTM D 93 | 34.0 | | <header> <Property> | <Unit> | <Method> | <Min> | <Max> | <Notes> </header>', 'label': [[13, 17, 'measuring_condition'], [20, 22, 'unit'], [25, 34, 'method'], [37, 41, 'min']]}"
Flash point,"{'data': 'Flash point | 100 °C', 'label': [[14, 17, 'mean'], [18, 20, 'unit']]}"
Flash point,"{'data': 'Punto de Inflamación Tag, ºC | 33 | 33 | ASTM D 56 ASTM D 1266 o <header> <DETERMINACIONES> | <ESPECIFICACIONES Mín. Máx.> | <ESPECIFICACIONES Mín. Máx.> | <MÉTODO DE ENSAYO> </header>', 'label': [[31, 33, 'mean'], [36, 38, 'mean'], [41, 62, 'method'], [26, 28, 'unit']]}"
Flash point,"{'data': 'Flash point ( closed cup ) ................................................................................................................................................ 61 | °C', 'label': [[172, 174, 'mean'], [177, 179, 'unit'], [14, 24, 'measuring_condition']]}"
Flash point,"{'data': 'Flash point | °C | ASTM D 93 | 62 min <header> <Property> | <Units> | <Method> | <Specification> </header>', 'label': [[14, 16, 'unit'], [19, 28, 'method'], [31, 33, 'min']]}"
Flash point,"{'data': 'FLASH POINT | FLASH POINT | > 21 < 55 | °C | // | ASTM D 3828 IP 303 <header> <DELIVERY CHARACTERISTICS> <COLOUR> <CHARACTERISTIC> | <DELIVERY CHARACTERISTICS> <COLOUR> <CHARACTERISTIC> | <DELIVERY CHARACTERISTICS> <COLOUR> <APPROXIMATE VALUES> | <DELIVERY CHARACTERISTICS> <BINDER NATURE> <UNIT OF MEASURE> | <DELIVERY CHARACTERISTICS> <ESTER AND STABILIZERS MIXTURE> <LECHLER METHOD> | <DELIVERY CHARACTERISTICS> <ESTER AND STABILIZERS MIXTURE> <REFERENCE METHOD> </header>', 'label': [[30, 32, 'min'], [35, 37, 'max'], [40, 42, 'unit'], [50, 68, 'method']]}"
Flash point,"{'data': 'Flash point | 221 °F | 105 °C', 'label': [[14, 17, 'mean'], [18, 20, 'unit'], [23, 26, 'mean'], [27, 29, 'unit']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup | 100.4 °C ( 212.7 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [37, 42, 'mean'], [43, 45, 'unit'], [48, 53, 'mean'], [54, 56, 'unit']]}"
Flash point,"{'data': 'Flash Point | °C | ASTM D 93 | 61 <header> <Vapor Pressure @ 20 °C> | <kPa> | <Calculated> | < 0.11 > </header>', 'label': [[14, 16, 'unit'], [19, 28, 'method'], [31, 33, 'mean']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 24 ( - 4 ℃ ) <header> <> | <SPECIFICATIONS> </header>', 'label': [[13, 15, 'unit'], [38, 39, 'unit'], [18, 24, 'measuring_condition'], [29, 31, 'mean'], [34, 37, 'mean']]}"
Flash point,"{'data': 'Flash Point | °C | IP 170 | - 6 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[19, 25, 'method'], [28, 31, 'mean'], [14, 16, 'unit']]}"
Flash point,"{'data': '▪ Flash Point ( SETA ) | ........................................ 90 °C', 'label': [[16, 20, 'measuring_condition'], [66, 68, 'mean'], [69, 71, 'unit']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 95 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 30, 'mean']]}"
Flash point,"{'data': 'Open cup | 31 <header> <Appearance at 25 ºC> | <Clear liquid> </header>', 'label': [[0, 8, 'measuring_condition'], [11, 13, 'mean']]}"
Flash point,"{'data': 'Flash Point, ºF, T.C.C. ( D - 56 ) | 105 min ( 40.6 ℃ ) | 110 ( 43.3 ℃ ) <header> <> | <SPECIFICATIONS> | <TYPICAL*> </header>', 'label': [[13, 15, 'unit'], [17, 23, 'measuring_conditon'], [26, 32, 'method'], [37, 40, 'min'], [47, 51, 'min'], [52, 53, 'unit']]}"
Flash point,"{'data': 'Flash Point Tag Closed Cup | 29 ℃ ( 85 ºF ) <header> <in Water, @ 20 ℃> | < 9.5 wt % > </header>', 'label': [[12, 26, 'measuring_condition'], [29, 31, 'mean'], [32, 33, 'unit'], [36, 38, 'mean'], [39, 41, 'unit']]}"
Flash point,"{'data': 'Flash point ( open cup ) , ºC | 87,8', 'label': [[14, 22, 'measuring_condition'], [27, 29, 'unit'], [32, 36, 'mean']]}"
Flash point,"{'data': 'Flash Point | Flash Point | °C | ASTM D 93 | 103', 'label': [[28, 30, 'unit'], [33, 42, 'method'], [45, 48, 'mean']]}"
Flash point,"{'data': 'Flash Point | 109 | ºF | 43 ℃ | ASTM D 56 <header> <Properties> | <Typical Value> | < ( English ) > | <Typical Value ( SI ) > | <Test Based On> </header>', 'label': [[20, 23, 'unit'], [25, 28, 'mean'], [28, 29, 'unit'], [32, 41, 'method'], [14, 17, 'mean']]}"
Flash point,"{'data': 'Flash Point Tag Closed Cup | 36 °C ( 96 °F ) <header> <Property> | <Typical Value, Units> </header>', 'label': [[12, 26, 'measuring_condition'], [29, 31, 'mean'], [37, 39, 'mean'], [32, 34, 'unit'], [40, 42, 'unit']]}"
Flash point,"{'data': 'Flash Point PMcc | °C | min. 76 | 79 | EN ISO 2719 <header> <Property> | <Unit> | <Specification> | <Typical> | <Method> </header>', 'label': [[12, 16, 'measuring_condition'], [19, 21, 'unit'], [29, 31, 'min'], [34, 36, 'mean'], [39, 50, 'method']]}"
Flash point,"{'data': 'Flash point | ca. | 61 °C | DIN 51755 <header> <Odour: Chemical Name: Appearance:> | <typical 1 - Hexanol clear, colourless> | <liquid internal: Revision:> | < 0698001 V 1.2, 09.07.2014 > </header>', 'label': [[20, 22, 'mean'], [23, 25, 'unit'], [28, 37, 'method']]}"
Flash point,"{'data': 'Flash po int | °C | ASTM D 93 3 | 62 min <header> <Propert y> | <Unit ts> | <Method> | <Specificatio on> </header>', 'label': [[20, 31, 'method'], [34, 36, 'min'], [15, 17, 'unit']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 119 <header> <Physical properties> | <> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 31, 'mean']]}"
Flash point,"{'data': 'Flash point ( 1 ) | 194 °F | 90 °C', 'label': [[20, 23, 'mean'], [29, 31, 'mean'], [24, 26, 'unit'], [32, 34, 'unit']]}"
Flash point,"{'data': 'Flash Point GT ( SETA ) o F | 275 º <header> <Acidity pH, 10 % aqueous solution, range> | < 6.0 - 8.0 > </header>', 'label': [[12, 23, 'measuring_condition'], [24, 27, 'unit'], [30, 33, 'mean']]}"
Flash point,"{'data': 'Flash Point PMcc | °C | - | 45 | EN ISO 2719 <header> <Property> | <Unit> | <Specification> | <Typical> | <Method> </header>', 'label': [[12, 16, 'measuring_conditon'], [19, 21, 'unit'], [28, 30, 'mean'], [33, 44, 'method']]}"
Flash point,"{'data': 'Flash Point Cleveland Open Cup | 120 °C ( 248 °F )', 'label': [[12, 30, 'measuring_condition'], [33, 36, 'mean'], [42, 45, 'mean'], [37, 39, 'unit'], [46, 48, 'unit']]}"
Flash point,"{'data': 'Flash Point | °C | ASTM D 93 | 63', 'label': [[14, 16, 'unit'], [19, 28, 'method'], [31, 33, 'mean']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup | 126 °C ( 259 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [37, 40, 'mean'], [46, 49, 'mean'], [41, 43, 'unit'], [50, 52, 'unit']]}"
Flash point,"{'data': 'Flash Point | < 32 | °F | < 0 | °C | ASTM D 56 <header> <Properties> | <Typical Value> | < ( English ) > | <Typical Value ( SI ) > | <Typical Value ( SI ) > | <Test Based On> </header>', 'label': [[16, 18, 'max'], [20, 23, 'unit'], [28, 29, 'max'], [32, 34, 'unit'], [37, 46, 'method']]}"
Flash point,"{'data': 'Leimahduspiste, PMcc Flampunkt, PMcc Flash Point, PMcc | °C | 76 | | > 76 | EN ISO 2719 <header> <> | <Yksikkö Enhet Unit> <> | <Laaturaja Kvalitetskrav Specification> <min.> | <Laaturaja Kvalitetskrav Specification> <max.> | <Tyypillinen arvo Typvärde Typical analysis> <> | <Määritysmenetelmä Testmetod Test method> <> </header>', 'label': [[50, 54, 'measuring_condition'], [16, 20, 'measuring_condition'], [32, 36, 'measuring_condition'], [57, 59, 'unit'], [62, 64, 'min'], [76, 87, 'method']]}"
Flash point,"{'data': 'Flash point, ℃ | | 27 | <header> <CAS no: 78 - 83 - 1 EINECS: 201 - 148 - 0 > | <ISOBUTANOL> | <Revision: 02 / 1 2002 - 04 - 18 > | <Revision: 02 / 1 2002 - 04 - 18 > </header>', 'label': [[13, 14, 'unit'], [19, 21, 'mean']]}"
Flash point,"{'data': 'Flash p point | °C | AS STM D 93 | 66 <header> <Proper rty> | <Units> | <M Method> | <Ty p ical values> </header>', 'label': [[16, 18, 'unit'], [21, 32, 'method'], [35, 37, 'mean']]}"
Flash point,"{'data': 'Flash Point, ºF, T.C.C. ( D - 56 ) | 105 min | <header> <> | <SPECIFICATIONS> | <TYPICALS*> </header>', 'label': [[13, 15, 'unit'], [17, 23, 'measuring_conditon'], [26, 32, 'method'], [37, 40, 'min']]}"
Flash point,"{'data': 'Flash point ( °C ) | <header> <Appearance at 25 ºC> | <Clear liquid> </header>', 'label': [[14, 16, 'unit']]}"
