id,data,label
41018,V i s c o s i t y | : 6000 mPa·s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41019,-- | -- | -- | --,irrelevant
41020,S-830 | Antimonide | 5 | 4 − 5,irrelevant
41021,-- | Bromide | 5 | 3,irrelevant
41022,SE-1010 | Antimonide | 5 | 4 − 5,irrelevant
41023,-- | -- | -- | -- | -- | -- | --,irrelevant
41024,S-830 | Antimonide | 5 | 5 | 5 | 5 | 5,irrelevant
41025,-- | Bromide | 5 | 5 | 5 | 4 − 5 | 4 − 5,irrelevant
41026,SE-1010 | Antimonide | 5 | 5 | 5 | 5 | 5,irrelevant
41027,-- | --,irrelevant
41028,Flame retardant (Bromide) | 10,irrelevant
41029,Filler | 30,irrelevant
41030,Foaming agent | 2,irrelevant
41031,Dispersant | 0.5,irrelevant
41032,Thickener | 1.5,irrelevant
41033,-- | -- | --,irrelevant
41034,S-752 | 8.0 | 8.3,irrelevant
41035,S-830 | 8.3 | 8.8,irrelevant
41036,S-850HQ | 9.3 | 9.6,irrelevant
41037,Acrylic emulsion | 7.4 | 7.8,irrelevant
41038,SBR latex | 7.8 | 8.2,irrelevant
41039,-- | -- | -- | --,irrelevant
41040, | E m u l s i o n | 100 | 100,irrelevant
41041, | Antimonide |--| ,irrelevant
41042, | F l a m e r e t a r d a n t | 5 | −,irrelevant
41043, | B r o m i d e |--| ,irrelevant
41044, | Flame retardant | − | 10,irrelevant
41045, | F o a m i n g a g e n t | 1 | 1,irrelevant
41046, | T h i c k e n e r | 0.8 | 0.7,irrelevant
41047,-- | --,irrelevant
41048,Polymer base | Vinyl acetate-ethylene copolymer,irrelevant
41049,Protective colloid | Polyvinyl alcohol,irrelevant
41050,Additives | Mineral anti-block agents,irrelevant
41051,Bulk density | 400-700 g/l,doubt
41052,Residual moisture | ≤ 1.0 %,irrelevant
41053,"Ash content, 950 °C | 8.0-12.0 %",irrelevant
41054,"pH, 10% redispersion in water | 6.5-9.5",pH
41055,Minimum film forming temperature | +3 °C,MFFT | MFT
41056,-- | -- | --,irrelevant
41057,Solid | (%) | 50 ± 1,Solid content | Solids | NV | NVM | Non-volatiles
41058,Viscosity | (mPa. s) | 100 – 1000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41059,pH |--| 4 – 7,pH
41060,Ave. Particle size | (µm) | 0.6,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41061,Density | (g/cm3) | 1.11,Density | Specific gravity
41062,MFT | (ºC) | 40,MFFT | MFT
41063,Particle charge |--| Nonionic,irrelevant
41064,Machine stability |--| Good,irrelevant
41065,Tg | (ºC) | 25,Tg
41066,Film strength | (MPa) | 23.0,irrelevant
41067,Film elongation | (%) | 40,irrelevant
41068,-- | -- | --,irrelevant
41069,Appearance |--| Milky white,irrelevant
41070,Solid content | (%) | 50 ± 1,Solid content | Solids | NV | NVM | Non-volatiles
41071,Viscosity | (mPa. s) | 100 − 1000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41072,pH |--| 4 – 7,pH
41073,Ave. particle size | (µm) | 0.6,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41074,Density | (g/cm3) | 1.11,Density | Specific gravity
41075,MFT | (ºC) | 40,MFFT | MFT
41076,Particle charge |--| Nonionic,irrelevant
41077,Mechanical stability |--| Good,irrelevant
41078,Tg | (ºC) | 25,Tg
41079,-- | -- | --,irrelevant
41080,Dry | Elongation (%) | 40,irrelevant
41081,-- | Strength (MPa） | 23.0,irrelevant
41082,-- | -- | -- | -- | -- | --,irrelevant
41083,Main agent | Solid (%) | -- | 54.2 | 56.5 | 53.4,Solid content | Solids | NV | NVM | Non-volatiles
41084,-- | Viscosity (mPa. s) | -- | 6200 | 8260 | 7860,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41085,Viscosity change (mPa. s) | -- | 0 min | 9900 | 15260 | 12200,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41086,-- | -- | 15 min | 11540 | 26360 | 33200,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41087,-- | -- | 30 min | 12940 | 33800 | 76300,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41088,-- | -- | 60 min | 14180 | 34400 | 295200,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41089,-- | -- | 90 min | 15320 | 35100 | Gel-up,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41090,Adhesion property Original | -- | -- | 18.1 (100) | 19.0 (90) | 18.4 (100),irrelevant
41091,(MPa) Boiling | -- | -- | 5.6 (50) | 3.3 (0) | 6.4 (50),irrelevant
41092,Initial strength (N/25 mm) | -- | 10 min | 300 | 260 | 70,irrelevant
41093,-- | -- | 20 min | 380 | 430 | 100,irrelevant
41094,-- | -- | 30 min | 460 | 470 | 120,irrelevant
41095,-- | -- | --,irrelevant
41096,Solid | (%) | 50 ± 1,Solid content | Solids | NV | NVM | Non-volatiles
41097,Viscosity | (mPa. s) | 200 – 1500,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41098,pH |--| 4 – 7,pH
41099,Ave. Particle size | (µm) | 0.6,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41100,Density | (g/cm3) | 1.11,Density | Specific gravity
41101,MFT | (ºC) | 30,MFFT | MFT
41102,Particle charge |--| Nonionic,irrelevant
41103,Machine stability |--| Good,irrelevant
41104,Tg | (ºC) | 25,Tg
41105,Film strength | (MPa) | 23.0,irrelevant
41106,Film elongation | (%) | 40,irrelevant
41107,-- | -- | --,irrelevant
41108,Appearance |--| Milky white,irrelevant
41109,Solid content | (%) | 50 ± 1,Solid content | Solids | NV | NVM | Non-volatiles
41110,Viscosity | (mPa. s) | 200 − 1500,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41111,pH |--| 4 – 7,pH
41112,Ave. particle size | (µm) | 0.6,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41113,Density | (g/cm3) | 1.11,Density | Specific gravity
41114,MFT | (ºC) | 30,MFFT | MFT
41115,Particle charge |--| Nonionic,irrelevant
41116,Mechanical stability |--| Good,irrelevant
41117,Tg | (ºC) | 25,Tg
41118,-- | -- | --,irrelevant
41119,Dry | Elongation (%) | 40,irrelevant
41120,-- | Strength (MPa） | 23.0,irrelevant
41121,-- | -- | -- | -- | -- | --,irrelevant
41122,Main agent | Solid (%) | -- | 54.2 | 56.5 | 53.4,Solid content | Solids | NV | NVM | Non-volatiles
41123,-- | Viscosity (mPa. s) | -- | 6200 | 8260 | 7860,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41124,Viscosity change (mPa. s) | -- | 0 min | 9900 | 15260 | 12200,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41125,-- | -- | 15 min | 11540 | 26360 | 33200,doubt
41126,-- | -- | 30 min | 12940 | 33800 | 76300,doubt
41127,-- | -- | 60 min | 14180 | 34400 | 295200,doubt
41128,-- | -- | 90 min | 15320 | 35100 | Gel-up,doubt
41129,Adhesion property Original | -- | -- | 18.1 (100) | 19.0 (90) | 18.4 (100),irrelevant
41130,(MPa) Boiling | -- | -- | 5.6 (50) | 3.3 (0) | 6.4 (50),irrelevant
41131,Initial strength (N/25 mm) | -- | 10 min | 300 | 260 | 70,irrelevant
41132,-- | -- | 20 min | 380 | 430 | 100,doubt
41133,-- | -- | 30 min | 460 | 470 | 120,doubt
41134,-- | -- | -- | --,irrelevant
41135,Elongation | (%) | 40 | 3,irrelevant
41136,Strength | (MPa) | 23 | 27,irrelevant
41137,-- | -- | -- | --,irrelevant
41138,Appearance |--| APR Milky white | Milky white,irrelevant
41139,Solid content | 27 (%) | SH 50±１ | 50±１,Solid content | Solids | NV | NVM | Non-volatiles
41140,Viscosity (mPa・s) | -- | TJ 300~2000 | 10~100,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41141,Received RMFI PH | -- | 4～7 | 4～7,pH
41142,Emulsifier | -- | Casco PVA | HEC/Surfactant,irrelevant
41143,Maron mechanical stability | -- | Excellent | Excellent,irrelevant
41144,Ｔg （℃） | -- | 25 | 30,Tg
41145,-- | -- | --,irrelevant
41146,Tg | DCC method | 12 - 18 ℃,Tg
41147,TYPICAL PROPERTY | -- | --,irrelevant
41148, | Inspection Method | Value,irrelevant
41149,Polymer Type |--| VinylAcetate-Ethylene copolymer,irrelevant
41150,Protective Colloid | -- | Polyvinyl Alcohol,irrelevant
41151,Bulk Density | DCC method | 0.5 g/ml,irrelevant
41152,Average Particle Size DCC method | -- | 90μm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41153,Viscosity at 25 °C | DCC method | 2000 mPa.s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41154,pH | DCC method | 7,pH
41155,-- | -- | -- | --,irrelevant
41156,pH | - | 4.0 - 5.0 | specific method,pH
41157,"Viscosity, dynamic | 25 °C | 1800 - 2700 mPa·s | specific method",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41158,Solids content | - | 54.0 - 56.0 % | specific method,Solid content | Solids | NV | NVM | Non-volatiles
41159,Grit 100 Mesh | - | max. 50 ppm | specific method,irrelevant
41160,-- | -- | -- | --,irrelevant
41161,"Glass transition temperature | - | approx. 17 °C | DSC, specific method",Tg
41162,Protective colloid / emulsifier system | - | polyvinyl alcohol | -,irrelevant
41163,Predominant particle size | - | 1200 - 1800 nm | specific method,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41164,Frost resistance | - | protect from freezing | specific method,irrelevant
41165,Density | - | 1.05 g/cm³ | specific method,Density | Specific gravity
41166,Dry tack | - | none | specific method,irrelevant
41167,Film clarity | - | slightly hazy | specific method,irrelevant
41168,Flexibility | - | fair | specific method,irrelevant
41169,Formaldehyde | - | < 50 ppm | -,irrelevant
41170,Mechanical stability | - | excellent | specific method,irrelevant
41171,Thickening response | - | high | specific method,irrelevant
41172,Water resistance | - | good | specific method,irrelevant
41173,Wet tack | - | high | specific method,irrelevant
41174,Physical form | White friable granules,irrelevant
41175,Specific gravity | 1.03,Density | Specific gravity
41176,"Viscosity, s | 13 - 17 (Ford Cup No.4, 25% Isopar* G)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41177,"Tg, C | ~ 45-50 (mid point, DSC 20 ℃ /min)",Tg
41178,Solubility | Recommended Kauri butanol value min 28,irrelevant
41179,Form of use | Solution,irrelevant
41180,Film formation | Solvent evaporation,irrelevant
41181,Compatibility | With PLIOWAY® resins and selected plasticizers soluble in isoparaffinic and other solvents.,irrelevant
41182,Isopar: Trademark of EXXON Corporation. | --,irrelevant
41183,-- | --,irrelevant
41184,Physical Form | White friable granules,irrelevant
41185,Specific Gravity | 1.03,Density | Specific gravity
41186,"Tg midpoint, °C | 49",Tg
41187,"Viscosity, sec Ford cup #4 25% solution Isopar® G | 13–17",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41188,"Solubility, Solvent KB | 28",irrelevant
41189,Form of Use | Solution,irrelevant
41190,Film Formation | Solvent Evaporation,irrelevant
41191,CHEMICAL/MECHANICAL PROPERTIES | ,irrelevant
41192,Mechanical Stability | Excellent,irrelevant
41193,Color | White,irrelevant
41194,Appearance | Fine,irrelevant
41195,Physical Form | Friable Granules,irrelevant
41196,Tg Midpoint | 49 ºC,Tg
41197,"Cup Viscosity | 15 sec (Ford Cup #4 @ 25°C, 25% solution Isopar® G)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41198,Density | 8.59 lbs/gal,Density | Specific gravity
41199,Specific Gravity | 1.03,Density | Specific gravity
41200,-- | -- | --,irrelevant
41201,Film Formation Mode | Solvent Evaporation | --,irrelevant
41202,-- | --,irrelevant
41203,Specific gravity | 1.03,Density | Specific gravity
41204,"Viscosity, mPa.s | 12000 – 16000 20% solids plus wetting agent in EXXSOL* D30, Brookfield RVT, 10 rpm, Spindle 6",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41205,"Tg, °C | 55",Tg
41206,Solubility | Recommended Kauri butanol value min 32 in ‘aromatic free’ hydrocarbon solvents such as EXXSOL* D30 and D40 or Isoparaffinic polar solven blends.,irrelevant
41207,Form of use | Gel,irrelevant
41208,Film formation | Solvent evaporation,irrelevant
41209,Compatibility | With selected modifying resins and plasticisers.,irrelevant
41210,-- | --,irrelevant
41211,Physical Form | White friable granules,irrelevant
41212,Specific Gravity | 1.03,Density | Specific gravity
41213,"Tg Midpoint, °C | 54",Tg
41214,"Viscosity, sec Ford Cup #4, 25° C 33% in xylene | 45",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41215,"Solubility, Solvent KB | 40",irrelevant
41216,Form of Use | Solution,irrelevant
41217,Film Formation | Solvent Evaporation,irrelevant
41218,-- | --,irrelevant
41219,Physical Form | White friable granules,irrelevant
41220,Specific Gravity | 1.03,Density | Specific gravity
41221,"Tg Midpoint, °C | 54",Tg
41222,"Viscosity, sec Ford Cup #4, 25° C 33% in xylene | 45",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41223,"Solubility, Solvent KB | 40",irrelevant
41224,Form of Use | Solution,irrelevant
41225,Film Formation | Solvent Evaporation,irrelevant
41226,Color | White,irrelevant
41227,Appearance | Fine,irrelevant
41228,Physical Form | Friable Granules,irrelevant
41229,Tg Midpoint | 61 ºC,Tg
41230,"Brookfield Viscosity | 50 cps (Brookfield units, 10% xylene, @ 25°C)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41231,Density | 8.60 lbs/gal,Density | Specific gravity
41232,Specific Gravity | 1.03,Density | Specific gravity
41233,-- | --,irrelevant
41234,Film Formation Mode | Solvent Evaporation,irrelevant
41235,-- | --,irrelevant
41236,"Solubility, Solvent KB | 36",irrelevant
41237,Color | White,irrelevant
41238,Appearance | Fine,irrelevant
41239,Physical Form | Friable Granules,irrelevant
41240,Tg Midpoint | 61 ºC,Tg
41241,"Brookfield Viscosity | 50 cps (Brookfield units, 10% xylene, @ 25 °C)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41242,Density | 8.60 lb/gal,Density | Specific gravity
41243,Specific Gravity | 1.03,Density | Specific gravity
41244,Mechanical Stability | Excellent,irrelevant
41245,Resistant to | Chemicals,irrelevant
41246,-- | Alkali,irrelevant
41247,-- | Water,irrelevant
41248,Rheology | Thixotropic,irrelevant
41249,Crosslinking | Pre-crosslinked,irrelevant
41250,Available Packaging | Pallets Bags (Antistatic),irrelevant
41251,-- | --,irrelevant
41252,Handling | Adequate ventilation should be maintained in the processing areas. Avoid vapor or mist inhalation. See Safety Data Sheet (SDS) for additional product information.,irrelevant
41253,"Recommended Storage Conditions | Store in a dry, well ventilated area.",irrelevant
41254,-- | -- | -- | -- | --,irrelevant
41255,Melt mass-flow rate (MFR) | ISO 1133/H | g/10 min | 9 - 10 | 200 °C; 5 kg,irrelevant
41256,Charpy impact strength | ISO 179/1eU | kJ/m2 | 10 | 23 °C,irrelevant
41257,Vicat softening temperature | ISO 306/B50 | °C | 86 | 50 °C/h; 50 N,irrelevant
41258,Residual styrene content | Internal | Weight % | 0.025 | -,irrelevant
41259,Flammability 1) | UL 94 | class | HB | 1.6 mm,irrelevant
41260,Moulding shrinkage | Internal | % | 0.2 - 0.5 | -,irrelevant
41261,PROCESSING CONDITIONS |--|  |--| ,irrelevant
41262,-- | -- |--|  | ,irrelevant
41263, | - | °C/h | 70 / 2 - 4 | hot-air drier,irrelevant
41264,Temperature/Time of drying 2) | - | °C/h | 70 / 1 | drier with a molecular sieve,irrelevant
41265,Injection moulding: Melt temperature | - | °C | 180 - 260 | -,irrelevant
41266,Injection moulding: Mould temperature | - | °C | 10 - 60 | -,irrelevant
41267,Extrusion: Melt temperature | - | °C | 200 - 240 | -,irrelevant
41268,-- | -- | --,irrelevant
41269,"Moisture content ,% Moisture content , | 0.5max | LH-R6",irrelevant
41270,"Brookfield viscosity Pa . Brookfield viscosity Pa .s,10rpm, spindle6,15%sol.in mixed spindle in mixed in mixed solvent | 55-80 | LH-R4/5",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41271,-- | --,irrelevant
41272,Specific gravity | 1.03,Density | Specific gravity
41273,Refractive Index | 1.532,irrelevant
41274,"Viscosity, sec | 68 Brookfield units in 15% organic solvent blend.",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41275,"Tg, °C | 54 (mid-point, DSC 20°C/min)",Tg
41276,Solubility Form of use | Recommended 45 KB min hydrocarbon solvent blended with polar or aromatic solvents to obtain satisfactory gel development. Gel,irrelevant
41277,Film formation | Solvent evaporation,irrelevant
41278,-- | --,irrelevant
41279,UV resistance | good,irrelevant
41280,Solubility (KB) | 45,irrelevant
41281,Product type | styrene - acrylate,irrelevant
41282,Rheology | thixotropic,irrelevant
41283,Tg (°C) | 54,Tg
41284, | ,irrelevant
41285,SAFETY & HANDLING | ,irrelevant
41286,-- | --,irrelevant
41287,Physical Form | Fine friable granules,irrelevant
41288,Specific Gravity | 1.03,Density | Specific gravity
41289,"Tg Midpoint, °C | 55",Tg
41290,"Viscosity, sec Brookfield units in 15% organic solvent | 68",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41291,"Solubility, Solvent KB | 45",irrelevant
41292,Form of Use | Gel,irrelevant
41293,Film Formation | Solvent Evaporation,irrelevant
41294,CHEMICAL/MECHANICAL PROPERTIES | ,irrelevant
41295,Mechanical Stability | Excellent,irrelevant
41296,Rheology | Thixotropic,irrelevant
41297,Weathering | Excellent,irrelevant
41298,-- | -- | --,irrelevant
41299,Specific Gravity | 1.05 | 1.05,Density | Specific gravity
41300,"Tg, °C (onset) | 43 | 49",Tg
41301,"Viscosity, sec |--| ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41302,"Ford Cup #4, 25°C | 175-220 | 45",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41303,33.33% xylene solution |--| ,irrelevant
41304,"Solubility, Solvent KB | 60 | 60",irrelevant
41305,Form of Use | Solution | Solution,irrelevant
41306,Film Formation | Solvent Evaporation | Solvent Evaporation,irrelevant
41307,-- | --,irrelevant
41308,Specific gravity | 1.03,irrelevant
41309,"Viscosity, sec. | 20-27 sec. 25% solids in EXXSOL* D30, Ford Cup n° 4 at 25° C Spindle 6",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41310,"Tg, °C | 56",Tg
41311,Solubility | Recommended Kauri butanol value min 31 in ‘aromatic free’ hydrocarbon solvents for interior paints and min. 32 in 'aromatic-free solvent for exterior paint.,irrelevant
41312,Form of use | Solution,irrelevant
41313,Film formation | Solvent evaporation,irrelevant
41314,Compatibility | With selected modifying resins and plasticisers.,irrelevant
41315,-- | --,irrelevant
41316,Specific Gravity | 1.03,Density | Specific gravity
41317,"Tg Midpoint, °C | 52",Tg
41318,Refractive Index | 1.532,irrelevant
41319,Viscosity Brookfield units in 20% xylene | 53,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41320,"Solubility, Solvent KB | 40",irrelevant
41321,Form of Use | Gel,irrelevant
41322,Film Formation | Solvent evaporation,irrelevant
41323,CHEMICAL/MECHANICAL PROPERTIES | ,irrelevant
41324,Mechanical Stability | Excellent,irrelevant
41325,Rheology | Pseudoplastic,
41326,-- | -- | --,irrelevant
41327,"Total solids, % | 68.5 - 71.5 | LHW 19",Solid content | Solids | NV | NVM | Non-volatiles
41328,"Viscosity (seconds) Ford Cup N˚ 4, 60 % solution in white spirit 25˚C | 60 - 100 | LHW 20",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41329,-- | --,irrelevant
41330,Specific gravity | 1.03,Density | Specific gravity
41331,"Viscosity, s | 18 (Brookfield RVT Sp6 – 10 rpm/20 % Isopar* G",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41332,"Tg, °C | 55 (mid point, DSC ~ 20°C/min)",Tg
41333,Solubility | Recommended Kauri butanol value min 28,irrelevant
41334,Form of use | Gel,irrelevant
41335,Film formation | Solvent evaporation,irrelevant
41336,Compatibility | With PLIOWAY ULTRA resins plasticisers soluble in isoparaffinic solvents.,irrelevant
41337,-- | --,irrelevant
41338,Physical Form | White friable granules,irrelevant
41339,Specific Gravity | 1.03,Density | Specific gravity
41340,"Tg midpoint, °C | 60",Tg
41341,"Viscosity, sec Brookfield RVT, 10 rpm, sp. 6 20% solution Isopar® G | 18",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41342,"Solubility, Solvent KB | 28",irrelevant
41343,Form of Use | Gel,irrelevant
41344,Film Formation | Solvent Evaporation,irrelevant
41345,CHEMICAL/MECHANICAL PROPERTIES | ,irrelevant
41346,Mechanical Stability | Excellent,irrelevant
41347,-- | --,irrelevant
41348,Specific gravity | 1.03,Density | Specific gravity
41349,"Viscosity, s | 30 (Ford Cup N°4 – 25% Isopar* G)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41350,"Tg, °C | 56 (mid point, DSC ~ 20°C/min)",Tg
41351,Solubility | Recommended Kauri butanol value min 28,irrelevant
41352,Form of use | Solution,irrelevant
41353,Film formation | Solvent evaporation,irrelevant
41354,Compatibility | With PLIOWAY ULTRA resins and selected plasticizers soluble in isoparaffinic solvents.,irrelevant
41355,-- | -- | -- | -- | --,irrelevant
41356, |--|  |--| ,irrelevant
41357, |--|  |--| --,irrelevant
41358, |--| -- | -- | ,irrelevant
41359,-- | -- | -- |--| --,irrelevant
41360,-- | -- | -- | -- | --,irrelevant
41361,Polymer Properties |--|  |--| ,irrelevant
41362,Heat Loss (%) | 0.0 | 0.6 | 0.23 | 1339,irrelevant
41363,Ash (%) | 5.0 | 9.5 | 7.5 | 1502,irrelevant
41364,Mill Shrinkage (%) (3' @ 60 + 10°F) | 4.0 | 20.0 | 13.0 | 820,irrelevant
41365,Screen Test U.S. Std. Sieve T-40(%) | 90 | 100.0 | 97 | 1372,irrelevant
41366, |--|  |--| ,irrelevant
41367,-- | --,irrelevant
41368,Physical Form | White friable granules,irrelevant
41369,Specific Gravity | 1.02,Density | Specific gravity
41370,"Tg Midpoint, °C | 61",Tg
41371,"Viscosity, sec Ford Cup #4, 25° C 25% solution Exxsol D40 | 27",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41372,-- | ,irrelevant
41373,"Solubility, Solvent KB | 31",irrelevant
41374,Form of Use | Solution,irrelevant
41375,Film Formation | Solvent Evaporation,irrelevant
41376,-- | --,irrelevant
41377,"Solubility, Solvent KB | 36",irrelevant
41378,Color | White,irrelevant
41379,Appearance | Fine,irrelevant
41380,Physical Form | Friable Granules,irrelevant
41381,Tg Midpoint | 61 ºC,Tg
41382,"Cup Viscosity | 54 sec (Ford Cup #4 @ 25 °C, 25% solution in white spirit 17)",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41383,Density | 8.60 lb/gal,Density | Specific gravity
41384,Specific Gravity | 1.03,Density | Specific gravity
41385,Mechanical Stability | Excellent,irrelevant
41386,Resistant to | Chemicals,irrelevant
41387,-- | Alkali,irrelevant
41388,-- | Water,irrelevant
41389,Rheology | Newtonian,irrelevant
41390,-- | -- | -- | --,irrelevant
41391, | -- | Bags (Antistatic) | --,irrelevant
41392,Handling | -- | Adequate ventilation should be maintained in the processing areas. See Safety Data Sheet (SDS) for additional product information. | ,irrelevant
41393,"Recommended Storage Conditions | -- | Store in a dry, well ventilated area. | ",irrelevant
41394,-- | -- | -- | --,irrelevant
41395,Solids Content | 50 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
41396,"pH Value | 8,5 |--| ISO 976",pH
41397,"Viscosity (23°C, 100 1/s) | 100 | mPas | ISO 3219",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41398,Glass Transition Temperature | -5 | °C | ,Tg
41399,"Density | 1,01 | g/cm³ | ",Density | Specific gravity
41400,"Mean Particle Size | 0,2 | µm | ",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41401,Minimum Film-Forming Temperature | 0 | °C | ,MFFT | MFT
41402,Surface Tension | 43 | mN/m | ,irrelevant
41403,Water Absorption (24h) | 5 | % | ,irrelevant
41404,Tensile Strength | 6 | N/mm² | ,irrelevant
41405,-- | -- | -- | --,irrelevant
41406,Solids Content | 50 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
41407,pH Value | 8.5 |--| ISO 976,pH
41408,"Viscosity (23°C, 100 1/s) | 100 | mPas | ISO 3219",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41409,Glass Transition Temperature | 5 - | °C | ,Tg
41410,Density | 1.01 | g/cm³ | ,Density | Specific gravity
41411,Mean Particle Size | 0.2 | µm | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41412,Minimum Film-Forming Temperature | 0 | °C | ,MFFT | MFT
41413,Surface Tension | 43 | mN/m | ,irrelevant
41414,Water Absorption (24h) | 5 | % | ,irrelevant
41415,Tensile Strength | 6 | N/mm² | ,irrelevant
41416,-- | -- | -- | --,irrelevant
41417,Solids Content | 50 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
41418,"pH Value | 8,5 |--| ISO 976",pH
41419,"Viscosity (23°C, 100 1/s) | 100 | mPas | ISO 3219",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41420,Glass Transition Temperature | -5 | °C | ,Tg
41421,"Density | 1,01 | g/cm³ | ",Density | Specific gravity
41422,"Mean Particle Size | 0,2 | µm | ",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
41423,Minimum Film-Forming Temperature | 0 | °C | ,MFFT | MFT
41424,Surface Tension | 43 | mN/m | ,
41425,Water Absorption (24h) | 5 | % | ,irrelevant
41426,Tensile Strength | 6 | N/mm² | ,irrelevant
41427,Elongation at Break | 600 | % | ,irrelevant
41428,-- | -- | -- | --,irrelevant
41429,Solids content | % | 31.0 - 34.0 | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
41430, |--|  | 0.5 g weighed quantity 105°C,irrelevant
41431,pH- value |--| 7.5 - 9.0 | ISO 976,pH
41432,"Viscosity | mPas | 10 - 250 | ISO 2555, Brookfield",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
41433, |--|  | Spindle 1/rpm 20/factor,irrelevant
41434,Further typical data*: |--|  | According to:,irrelevant
41435,MFFT | °C | ca. 25 | ,MFFT | MFT
41436,Density | g/cm3 | ca. 1.05 | ISO 2811-1,Density | Specific gravity
41437,Solvent-free |--|  | ,
41438,Film properties*: |--|  | According to:,irrelevant
